"","airport1","airport2","airline","cnt"
"448","SPN","GUM","UA",39.4166666666667
"449","RNO","SFO","UA",38.5
"450","SFO","RNO","UA",38.4166666666667
"451","DEN","SBA","UA",37.8
"452","BTV","ORD","UA",37.2727272727273
"453","ORD","BTV","UA",37.2727272727273
"454","DEN","MIA","UA",37.2
"455","SFO","MSY","UA",37.0833333333333
"456","MIA","DEN","UA",37
"457","MSY","SFO","UA",37
"458","SFO","IND","UA",37
"459","IND","SFO","UA",36.9166666666667
"460","IAD","MSY","UA",36.4166666666667
"461","MSY","IAD","UA",36.25
"462","SJU","ORD","UA",36.25
"463","ORD","SJU","UA",36.1666666666667
"464","IAH","TUS","UA",35.6666666666667
"465","EWR","SLC","UA",35.5833333333333
"466","SLC","EWR","UA",35.5
"467","SLC","DEN","UA",35.25
"468","IND","DEN","UA",35.125
"469","DTW","ORD","UA",34.25
"470","SFO","STL","UA",34.25
"471","STL","SFO","UA",34.125
"472","MCI","IAH","UA",34
"473","SLC","IAH","UA",33.9
"474","BUR","SFO","UA",33.7272727272727
"475","SFO","BUR","UA",33.5454545454545
"476","ORD","SRQ","UA",33.4545454545455
"477","SRQ","ORD","UA",33.3636363636364
"478","ORD","DTW","UA",33.25
"479","IAD","CLE","UA",33.0909090909091
"480","IAD","MIA","UA",32.1428571428571
"481","MIA","IAD","UA",32.1428571428571
"482","DEN","TUS","UA",32
"483","IAH","RDU","UA",32
"484","ORD","ANC","UA",32
"485","FLL","SFO","UA",31.9166666666667
"486","SLC","ORD","UA",31.9090909090909
"487","ANC","ORD","UA",31.9
"488","SFO","FLL","UA",31.8333333333333
"489","IAH","MCI","UA",31.7272727272727
"490","DEN","HIK","UA",31.5
"491","DEN","HNL","UA",31.5
"492","PHX","IAD","UA",31.4166666666667
"493","DEN","IND","UA",31.3333333333333
"494","IAD","PHX","UA",31.3333333333333
"495","CLE","MCO","UA",31.25
"496","MCO","CLE","UA",31.25
"497","DEN","OGG","UA",30.8333333333333
"498","OGG","DEN","UA",30.8333333333333
"499","GUM","HIK","UA",30.5
"500","GUM","HNL","UA",30.5
"501","DEN","RSW","UA",30.4545454545455
"502","BQN","EWR","UA",30.4166666666667
"503","DEN","JAX","UA",30.4166666666667
"504","DEN","KOA","UA",30.4166666666667
"505","DEN","LIH","UA",30.4166666666667
"506","EWR","BQN","UA",30.4166666666667
"507","EWR","HIK","UA",30.4166666666667
"508","EWR","HNL","UA",30.4166666666667
"509","IAH","HIK","UA",30.4166666666667
"510","IAH","HNL","UA",30.4166666666667
"511","KOA","DEN","UA",30.4166666666667
"512","LIH","DEN","UA",30.4166666666667
"513","ORD","HIK","UA",30.4166666666667
"514","ORD","HNL","UA",30.4166666666667
"515","DEN","OKC","UA",30.4
"516","RSW","DEN","UA",30.3636363636364
"517","DCA","DEN","UA",30.3333333333333
"518","DCA","SFO","UA",30.3333333333333
"519","DEN","BDL","UA",30.3333333333333
"520","DEN","DCA","UA",30.3333333333333
"521","JAX","DEN","UA",30.3333333333333
"522","SFO","DCA","UA",30.3333333333333
"523","BDL","DEN","UA",30.25
"524","GEG","ORD","UA",30.0833333333333
"525","ORD","GEG","UA",30.0833333333333
"526","EGE","ORD","UA",30
"527","ORD","EGE","UA",30
"528","JAX","IAH","UA",29.75
"529","ATL","ORD","UA",29.6666666666667
"530","IAH","JAX","UA",29.5833333333333
"531","ORD","RIC","UA",29.3333333333333
"532","DEN","EUG","UA",29.25
"533","MIA","SFO","UA",29.25
"534","RIC","ORD","UA",29.25
"535","SFO","MIA","UA",29.25
"536","CLE","FLL","UA",29.2
"537","CLE","IAD","UA",29.2
"538","CLE","RSW","UA",29.2
"539","FLL","CLE","UA",29.2
"540","RSW","CLE","UA",29.2
"541","ORD","JAX","UA",29
"542","IAH","TUL","UA",28.9166666666667
"543","SFO","DTW","UA",28.8333333333333
"544","TUL","IAH","UA",28.8333333333333
"545","ORD","PSP","UA",28.7142857142857
"546","PSP","ORD","UA",28.7142857142857
"547","DTW","SFO","UA",28.6666666666667
"548","JAX","EWR","UA",28.6666666666667
"549","MDT","ORD","UA",28.6363636363636
"550","ORD","MDT","UA",28.6363636363636
"551","IAD","MSP","UA",28.6
"552","MSP","IAD","UA",28.6
"553","CVG","SFO","UA",28.5
"554","HIK","IAD","UA",28.5
"555","HNL","IAD","UA",28.5
"556","SFO","CVG","UA",28.5
"557","SMF","IAD","UA",28.3333333333333
"558","IAD","SMF","UA",28.25
"559","DEN","STL","UA",28.1428571428571
"560","EWR","SAT","UA",28
"561","IAH","PSP","UA",28
"562","PSP","IAH","UA",28
"563","SAT","EWR","UA",28
"564","DEN","SLC","UA",27.8888888888889
"565","LAX","BWI","UA",27.8181818181818
"566","BWI","LAX","UA",27.7272727272727
"567","IAD","ATL","UA",27.5833333333333
"568","IAD","DFW","UA",27.5555555555556
"569","EUG","DEN","UA",27.5
"570","ORD","SAV","UA",27.3333333333333
"571","SAV","ORD","UA",27.3333333333333
"572","IAD","SJU","UA",27.2727272727273
"573","SJU","IAD","UA",27.2727272727273
"574","CMH","SFO","UA",27.1428571428571
"575","SFO","CMH","UA",27.1428571428571
"576","DLH","ORD","UA",27.0833333333333
"577","ORD","DLH","UA",27.0833333333333
"578","DFW","IAD","UA",26.875
"579","DEN","ORF","UA",26.75
"580","ORF","DEN","UA",26.75
"581","BTV","EWR","UA",26.6666666666667
"582","EWR","BTV","UA",26.6666666666667
"583","ORD","PBI","UA",26.5555555555556
"584","IAD","PDX","UA",26.3636363636364
"585","PDX","IAD","UA",26.3636363636364
"586","PBI","ORD","UA",26.3333333333333
"587","MFR","DEN","UA",26.25
"588","ORD","GRR","UA",26.25
"589","GRR","ORD","UA",26.1666666666667
"590","ORD","FAT","UA",26.1
"591","FAT","ORD","UA",26
"592","DEN","ICT","UA",25.9166666666667
"593","DEN","MKE","UA",25.9
"594","MKE","DEN","UA",25.9
"595","ICT","DEN","UA",25.8333333333333
"596","EGE","EWR","UA",25.5
"597","EWR","EGE","UA",25.5
"598","EWR","JAC","UA",25.5
